t,T
0,30.821915023953494
1,28.66431853833037
2,29.343304288810067
3,26.908117415745576
4,26.620588251794686
5,27.59495776193812
6,25.036764772854376
7,25.45938880138201
8,26.45842178443355
9,23.99350289221916
10,22.749809414342774
11,22.958748335062054
12,21.947653210008987
13,21.515698596199815
14,22.50507234329931
15,21.398784643152464
16,20.484755599633115
17,21.943731848807957
18,21.097080453346617
19,20.358640192002415
20,18.84102585092865
21,18.04576743752767
22,19.833506519827505
23,17.144316144192057
24,18.77836068092554
25,17.334665011193255
26,17.702395753001532
27,18.08160504444477
28,15.421010395146064
29,17.128951732031375
30,17.755024537160924
31,15.331964561418054
32,14.935078984602502
33,16.298704337801762
34,15.298239381528981
35,13.642559810772799
36,15.365664016972403
37,15.273383500385574
38,13.119022740287019
39,12.308409791060168
40,15.787177333676649
41,13.827276004876182
42,13.938180316471101
43,13.151199648986283
44,13.564206421509583
45,12.221152305213849
46,12.097698987310668
47,12.541770006045471
48,12.63758150480816
49,13.548082793555077
50,11.637618485617446
51,12.97905625827165
52,13.444214584535619
53,12.66796043606694
54,12.123240633763727
55,10.868924317570066
56,12.360032688812792
57,11.524915971847154
58,12.281307058028686
59,11.5976062951313
60,12.114284225628905
61,11.814532030817903
62,11.158851615294605
63,10.71205611032041
64,11.925093503217157
65,12.205704829783299
66,12.887023299596379
67,11.987095647453744
68,10.856138683912613
69,12.321555171273024
70,11.9494249636269
71,12.04866952609046
72,10.167216801502505
73,10.517008531091532
74,12.369173702458532
75,10.635798788681978
76,9.37996007325384
77,11.166742511491712
78,11.699332159640926
79,11.416656433307226
80,10.774322023365206
81,10.038487110494335
82,10.706630081548951
83,9.360976349366434
84,9.484148975078096
85,9.844751065026879
86,10.020905974238435
87,11.284458606760564
88,10.204359283290982
89,8.85711388358295
90,10.439074411088255
91,10.779145967201746
92,10.61790562802006
93,10.335973849681297
94,9.969094529648263
95,11.9001382402869
96,9.896072694832283
97,11.042642755437612
98,10.656266023126959
99,11.72806552729509
100,9.94464139728119
101,9.367964591034038
102,11.651363980137122
103,10.394777766343374
104,10.72339071214044
105,10.764213335969016
106,8.256166845351093
107,9.430295985699797
108,9.92706588032796
109,10.021996296538333
110,8.233452245967317
111,9.904665929084423
112,9.466247191163125
113,9.549067033393252
114,9.687125904516456
115,9.917730576133927
116,10.169519262094838
117,10.964830291946159
118,9.92468902996955
119,11.815631867018109
